m00097,27248070,27248319,0
m00006,42659208,42659457,0
m00043,13709534,13709783,0
mSu,2241977,2242226,1
m00028,7142791,7143046,1
m00028,5336390,5336645,1
m00047,75309953,75310202,0
m00056,4634127,4634376,0
m00006,107870686,107870935,0
m00100,10877112,10877361,0
m00017,68977164,68977419,0
m00032,47736032,47736281,0
m00071,1145874,1146123,1
m00004,84399896,84400151,0
m00055,42358509,42358758,1
m00068,36271591,36271840,1
m00075,35161445,35161694,0
m00061,45583770,45584019,0
m00037,5066560,5066809,0
m00075,41218137,41218386,0
m00055,59680670,59680919,1
m00017,10683188,10683443,0
m00049,108953381,108953630,0
m00097,110696496,110696745,0
m00071,5685478,5685727,1
m00005,10817487,10817742,0
m00079,113670218,113670467,1
m00060,25242036,25242285,0
m00068,5660549,5660798,1
m00018,69788974,69789229,0
m00032,106165995,106166244,0
m00071,64580223,64580472,1
m00071,26004769,26005018,1
m00071,107480312,107480561,1
m00096,10683120,10683369,0
m00035,50927539,50927788,0
m00060,114266687,114266936,0
m00079,44317652,44317901,1
m00023,13115146,13115395,0
m00075,25112828,25113077,0
m00037,45380353,45380602,0
m00024,77154849,77155098,0
m00045,21543647,21543896,0
m00075,12284656,12284905,0
m00028,27323318,27323573,1
m00048,5393668,5393917,1
m00038,14717220,14717469,0
m00017,65520809,65521064,0
m00028,69469003,69469258,1
m00124,16010448,16010703,0
m00061,62077679,62077928,0
m00039,71902689,71902938,0
m00017,77993797,77994052,0
m00022,30299911,30300166,0
m00079,58776372,58776621,1
m00073,26612730,26612979,1
m00027,4292420,4292675,0
m00060,82090149,82090398,0
m00043,82229487,82229736,0
m00005,38586841,38587096,0
m00075,85031380,85031629,0
m00018,14177518,14177773,0
m00006,1086591,1086840,0
m00039,71910930,71911179,0
m00068,27243452,27243701,1
m00017,52769719,52769974,1
m00018,14629743,14629998,0
m00017,11864141,11864396,0
m00021,18609271,18609526,0
m00030,25735354,25735603,0
m00024,30173483,30173732,1
m00097,97432212,97432461,0
m00049,41413500,41413749,0
m00024,9297413,9297662,1
m00100,14400914,14401163,0
m00052,46044404,46044653,1
m00021,59025415,59025670,0
mSu,1151205,1151454,1
m00026,17441909,17442158,1
m00005,83583530,83583785,0
m00037,80831107,80831356,0
m00037,51046252,51046501,0
m00021,36159786,36160041,0
m00021,71884216,71884471,0
m00096,43451960,43452209,0
m00060,56212459,56212708,0
m00048,49059572,49059821,1
m00055,26997643,26997892,1
m00028,52095450,52095705,0
m00038,50474735,50474984,0
m00052,109082194,109082443,1
m00039,47097194,47097443,0
m00018,2662660,2662915,0
m00028,36548438,36548693,0
m00058,149942644,149942893,0
m00107,76990615,76990864,0
m00025,97655331,97655586,1
m00073,49772475,49772724,1
m00071,11730330,11730579,1
m00060,88529409,88529658,0
m00024,11842027,11842276,1
m00083,20134499,20134754,1
m00021,63149060,63149315,0
m00097,71569937,71570186,0
m00061,12577891,12578140,0
m00122,75333993,75334242,1
m00060,6988369,6988618,0
m00083,86122815,86123070,1
